file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Strategy\DirectDriveNavigation.java,BehavioralPatterns.Strategy.DirectDriveNavigation,class,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,1,0,0,0,0,0,11,1,0
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\ICommand.java,BehavioralPatterns.Command.ICommand,interface,0,5,5,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Observer\Stock.java,BehavioralPatterns.Observer.Stock,class,2,10,8,2,7,1,2,5,0,0.38888893,0.73333335,1.0,6,0,5,0,1,0,6,0,0,0,3,0,0,3,0,0,0,0,0,29,1,1,0,0,0,7,0,4,2,3,1,0,0,0,16,1025,0
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\AbstractFactory\MainCourse.java,CreationalPatterns.AbstractFactory.MainCourse,interface,0,6,6,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\DivideCommand.java,BehavioralPatterns.Command.DivideCommand,class,2,3,1,2,3,1,0,2,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,2,0,0,0,0,8,1,0
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Factory\Triangle.java,CreationalPatterns.Factory.Triangle,class,2,4,2,2,3,1,0,2,1,0.33333334,0.33333334,0.33333334,3,0,2,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,13,1,0,0,0,0,2,1,2,3,2,0,0,0,0,10,1,0
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\State\DefendingTactics.java,BehavioralPatterns.State.DefendingTactics,class,4,6,2,4,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15,1,0
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Prototype\Knight.java,CreationalPatterns.Prototype.Knight,class,1,2,1,1,3,2,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,6,2,3,3,0,0,0,0,0,8,1,0
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\StructuralPatterns\Adapter\FatData.java,StructuralPatterns.Adapter.FatData,class,1,2,1,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Builder\LambPatty.java,CreationalPatterns.Builder.LambPatty,class,1,2,1,1,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,0
