file,class,method,variable,usage
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Strategy\DirectDriveNavigation.java,BehavioralPatterns.Strategy.DirectDriveNavigation,"getNavigationPath/2[java.lang.String,java.lang.String]",start,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Strategy\DirectDriveNavigation.java,BehavioralPatterns.Strategy.DirectDriveNavigation,"getNavigationPath/2[java.lang.String,java.lang.String]",finish,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Observer\Stock.java,BehavioralPatterns.Observer.Stock,attach/1[BehavioralPatterns.Observer.IInvestor],investor,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Observer\Stock.java,BehavioralPatterns.Observer.Stock,setPrice/1[double],price,4
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Observer\Stock.java,BehavioralPatterns.Observer.Stock,"Stock/2[java.lang.String,double]",symbol,2
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Observer\Stock.java,BehavioralPatterns.Observer.Stock,"Stock/2[java.lang.String,double]",price,2
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Observer\Stock.java,BehavioralPatterns.Observer.Stock,update/0,investor,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Observer\Stock.java,BehavioralPatterns.Observer.Stock,detach/1[BehavioralPatterns.Observer.IInvestor],investor,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\DivideCommand.java,BehavioralPatterns.Command.DivideCommand,"DivideCommand/2[BehavioralPatterns.Command.Calculator,double]",calculator,2
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\DivideCommand.java,BehavioralPatterns.Command.DivideCommand,"DivideCommand/2[BehavioralPatterns.Command.Calculator,double]",operand,2
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Factory\Triangle.java,CreationalPatterns.Factory.Triangle,"Triangle/2[double,double]",width,2
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Factory\Triangle.java,CreationalPatterns.Factory.Triangle,"Triangle/2[double,double]",height,2
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\State\DefendingTactics.java,BehavioralPatterns.State.DefendingTactics,attack/1[BehavioralPatterns.State.TeamTactics],tactics,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\State\DefendingTactics.java,BehavioralPatterns.State.DefendingTactics,defend/1[BehavioralPatterns.State.TeamTactics],tactics,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\SubstractCommand.java,BehavioralPatterns.Command.SubstractCommand,"SubstractCommand/2[BehavioralPatterns.Command.Calculator,double]",calculator,2
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\SubstractCommand.java,BehavioralPatterns.Command.SubstractCommand,"SubstractCommand/2[BehavioralPatterns.Command.Calculator,double]",operand,2
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Singleton\Logger.java,CreationalPatterns.Singleton.Logger,log/1[java.lang.String],msg,1
