file,class,method,variable,usage
C:\PROJECTS\huston\huston\src\decorator\Decorator.java,decorator.Decorator,Decorator/1[decorator.Widget],wid,1
C:\PROJECTS\huston\huston\src\decorator\Decorator.java,decorator.Decorator,draw/0,wid,1
C:\PROJECTS\huston\huston\src\strategy\StrategyDemo.java,strategy.StrategyDemo,clientCode/1[strategy.Strategy],strat,2
C:\PROJECTS\huston\huston\src\strategy\StrategyDemo.java,strategy.StrategyDemo,main/1[java.lang.String[]],strat,1
C:\PROJECTS\huston\huston\src\proxy\RealImage.java,proxy.RealImage,displayImage/0,filename,1
C:\PROJECTS\huston\huston\src\proxy\RealImage.java,proxy.RealImage,RealImage/1[java.lang.String],filename,3
C:\PROJECTS\huston\huston\src\proxy\RealImage.java,proxy.RealImage,loadImageFromDisk/0,filename,1
C:\PROJECTS\huston\huston\src\strategy\Impl1.java,strategy.Impl1,isSolution/0,state,2
C:\PROJECTS\huston\huston\src\strategy\Impl1.java,strategy.Impl1,nextTry/0,state,1
C:\PROJECTS\huston\huston\src\strategy\Impl2.java,strategy.Impl2,search/0,state,2
C:\PROJECTS\huston\huston\src\observer\SensorSystem.java,observer.SensorSystem,unregister/1[observer.AlarmListener],listeners,1
C:\PROJECTS\huston\huston\src\observer\SensorSystem.java,observer.SensorSystem,register/1[observer.AlarmListener],listeners,1
C:\PROJECTS\huston\huston\src\observer\SensorSystem.java,observer.SensorSystem,soundTheAlarm/0,listeners,1
C:\PROJECTS\huston\huston\src\bridge\Stack.java,bridge.Stack,Stack/1[java.lang.String],imp,2
C:\PROJECTS\huston\huston\src\bridge\Stack.java,bridge.Stack,isEmpty/0,imp,1
C:\PROJECTS\huston\huston\src\bridge\Stack.java,bridge.Stack,pop/0,imp,1
C:\PROJECTS\huston\huston\src\bridge\Stack.java,bridge.Stack,push/1[int],imp,1
C:\PROJECTS\huston\huston\src\visitor\Leaf.java,visitor.Leaf,Leaf/1[int],number,1
C:\PROJECTS\huston\huston\src\visitor\Leaf.java,visitor.Leaf,traverse/0,number,1
C:\PROJECTS\huston\huston\src\visitor\Leaf.java,visitor.Leaf,getNumber/0,number,1
C:\PROJECTS\huston\huston\src\bridge\StackMine.java,bridge.StackMine,push/1[java.lang.Object],total,1
C:\PROJECTS\huston\huston\src\bridge\StackMine.java,bridge.StackMine,push/1[java.lang.Object],items,1
C:\PROJECTS\huston\huston\src\bridge\StackMine.java,bridge.StackMine,peek/0,total,1
C:\PROJECTS\huston\huston\src\bridge\StackMine.java,bridge.StackMine,peek/0,items,1
C:\PROJECTS\huston\huston\src\bridge\StackMine.java,bridge.StackMine,pop/0,total,1
C:\PROJECTS\huston\huston\src\bridge\StackMine.java,bridge.StackMine,pop/0,items,1
C:\PROJECTS\huston\huston\src\bridge\StackMine.java,bridge.StackMine,empty/0,total,1
C:\PROJECTS\huston\huston\src\composite\Product.java,composite.Product,Product/1[int],value,1
C:\PROJECTS\huston\huston\src\composite\Product.java,composite.Product,traverse/0,value,1
C:\PROJECTS\huston\huston\src\command\LightOnCommand.java,command.LightOnCommand,execute/0,myLight,1
C:\PROJECTS\huston\huston\src\command\LightOnCommand.java,command.LightOnCommand,LightOnCommand/1[command.Light],myLight,1
C:\PROJECTS\huston\huston\src\bridge\StackHanoi.java,bridge.StackHanoi,reportRejected/0,totalRejected,1
C:\PROJECTS\huston\huston\src\bridge\StackHanoi.java,bridge.StackHanoi,push/1[int],totalRejected,1
C:\PROJECTS\huston\huston\src\composite\Box.java,composite.Box,Box/1[int],value,1
C:\PROJECTS\huston\huston\src\composite\Box.java,composite.Box,traverse/0,children,2
C:\PROJECTS\huston\huston\src\composite\Box.java,composite.Box,traverse/0,value,1
C:\PROJECTS\huston\huston\src\composite\Box.java,composite.Box,add/1[composite.Entity],children,1
C:\PROJECTS\huston\huston\src\command\FanOffCommand.java,command.FanOffCommand,execute/0,myFan,1
C:\PROJECTS\huston\huston\src\command\FanOffCommand.java,command.FanOffCommand,FanOffCommand/1[command.Fan],myFan,1
C:\PROJECTS\huston\huston\src\command\FanOnCommand.java,command.FanOnCommand,execute/0,myFan,1
C:\PROJECTS\huston\huston\src\command\FanOnCommand.java,command.FanOnCommand,FanOnCommand/1[command.Fan],myFan,1
C:\PROJECTS\huston\huston\src\decorator\TextField.java,decorator.TextField,draw/0,width,1
C:\PROJECTS\huston\huston\src\decorator\TextField.java,decorator.TextField,draw/0,height,1
C:\PROJECTS\huston\huston\src\decorator\TextField.java,decorator.TextField,"TextField/2[int,int]",width,1
C:\PROJECTS\huston\huston\src\decorator\TextField.java,decorator.TextField,"TextField/2[int,int]",height,1
C:\PROJECTS\huston\huston\src\state\FSM.java,state.FSM,changeState/1[int],current,1
C:\PROJECTS\huston\huston\src\state\FSM.java,state.FSM,ack/0,current,1
C:\PROJECTS\huston\huston\src\state\FSM.java,state.FSM,ack/0,states,1
C:\PROJECTS\huston\huston\src\state\FSM.java,state.FSM,on/0,current,1
C:\PROJECTS\huston\huston\src\state\FSM.java,state.FSM,on/0,states,1
C:\PROJECTS\huston\huston\src\state\FSM.java,state.FSM,off/0,current,1
C:\PROJECTS\huston\huston\src\state\FSM.java,state.FSM,off/0,states,1
C:\PROJECTS\huston\huston\src\command\Switch.java,command.Switch,flipUp/0,UpCommand,1
C:\PROJECTS\huston\huston\src\command\Switch.java,command.Switch,"Switch/2[command.Command,command.Command]",UpCommand,1
C:\PROJECTS\huston\huston\src\command\Switch.java,command.Switch,"Switch/2[command.Command,command.Command]",DownCommand,1
C:\PROJECTS\huston\huston\src\command\Switch.java,command.Switch,flipDown/0,DownCommand,1
C:\PROJECTS\huston\huston\src\visitor\CollectVisitor.java,visitor.CollectVisitor,visit/1[visitor.Composite],letters,1
C:\PROJECTS\huston\huston\src\visitor\CollectVisitor.java,visitor.CollectVisitor,visit/1[visitor.Leaf],numbers,1
C:\PROJECTS\huston\huston\src\visitor\CollectVisitor.java,visitor.CollectVisitor,getNumbers/0,numbers,1
C:\PROJECTS\huston\huston\src\visitor\CollectVisitor.java,visitor.CollectVisitor,getLetters/0,letters,1
C:\PROJECTS\huston\huston\src\command\LightOffCommand.java,command.LightOffCommand,execute/0,myLight,1
C:\PROJECTS\huston\huston\src\command\LightOffCommand.java,command.LightOffCommand,LightOffCommand/1[command.Light],myLight,1
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Component.java,chainOfResponsibility.Component,"Component/2[int,chainOfResponsibility.Component]",next,1
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Component.java,chainOfResponsibility.Component,"Component/2[int,chainOfResponsibility.Component]",value,1
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Component.java,chainOfResponsibility.Component,traverse/0,value,1
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Component.java,chainOfResponsibility.Component,setNext/1[chainOfResponsibility.Component],next,1
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Component.java,chainOfResponsibility.Component,volunteer/0,next,1
C:\PROJECTS\huston\huston\src\prototype\PrototypesModule.java,prototype.PrototypesModule,addPrototype/1[prototype.Prototype],total,1
C:\PROJECTS\huston\huston\src\prototype\PrototypesModule.java,prototype.PrototypesModule,addPrototype/1[prototype.Prototype],prototypes,1
C:\PROJECTS\huston\huston\src\prototype\PrototypesModule.java,prototype.PrototypesModule,findAndClone/1[java.lang.String],total,1
C:\PROJECTS\huston\huston\src\prototype\PrototypesModule.java,prototype.PrototypesModule,findAndClone/1[java.lang.String],prototypes,2
C:\PROJECTS\huston\huston\src\proxy\ProxyImage.java,proxy.ProxyImage,ProxyImage/1[java.lang.String],filename,3
C:\PROJECTS\huston\huston\src\proxy\ProxyImage.java,proxy.ProxyImage,displayImage/0,image,3
C:\PROJECTS\huston\huston\src\proxy\ProxyImage.java,proxy.ProxyImage,displayImage/0,filename,1
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Composite.java,chainOfResponsibility.Composite,add/1[chainOfResponsibility.Component],total,1
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Composite.java,chainOfResponsibility.Composite,add/1[chainOfResponsibility.Component],children,1
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Composite.java,chainOfResponsibility.Composite,traverse/0,total,1
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Composite.java,chainOfResponsibility.Composite,traverse/0,children,1
C:\PROJECTS\huston\huston\src\singleton\ClassicSingleton.java,singleton.ClassicSingleton,getInstance/0,instance,3
C:\PROJECTS\huston\huston\src\visitor\Composite.java,visitor.Composite,accept/1[visitor.Visitor],children,2
C:\PROJECTS\huston\huston\src\visitor\Composite.java,visitor.Composite,getLetter/0,letter,1
C:\PROJECTS\huston\huston\src\visitor\Composite.java,visitor.Composite,add/1[visitor.Component],children,1
C:\PROJECTS\huston\huston\src\visitor\Composite.java,visitor.Composite,traverse/0,children,2
C:\PROJECTS\huston\huston\src\visitor\Composite.java,visitor.Composite,traverse/0,letter,1
