file,class,method,variable,usage
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Primitive.java,chainOfResponsibility.Primitive,"Primitive/2[int,chainOfResponsibility.Component]",val,1
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Primitive.java,chainOfResponsibility.Primitive,"Primitive/2[int,chainOfResponsibility.Component]",n,1
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Primitive.java,chainOfResponsibility.Primitive,Primitive/1[int],val,1
C:\PROJECTS\huston\huston\src\prototype\PrototypeDemo.java,prototype.PrototypeDemo,main/1[java.lang.String[]],args,2
C:\PROJECTS\huston\huston\src\prototype\PrototypeDemo.java,prototype.PrototypeDemo,main/1[java.lang.String[]],total,4
C:\PROJECTS\huston\huston\src\prototype\PrototypeDemo.java,prototype.PrototypeDemo,main/1[java.lang.String[]],objects,3
C:\PROJECTS\huston\huston\src\prototype\PrototypeDemo.java,prototype.PrototypeDemo,main/1[java.lang.String[]],i,7
C:\PROJECTS\huston\huston\src\visitor\Visitor.java,visitor.Visitor,visit/1[visitor.Composite],c,0
C:\PROJECTS\huston\huston\src\visitor\Visitor.java,visitor.Visitor,visit/1[visitor.Leaf],l,0
C:\PROJECTS\huston\huston\src\decorator\Decorator.java,decorator.Decorator,Decorator/1[decorator.Widget],w,1
C:\PROJECTS\huston\huston\src\composite\CompositeLevels.java,composite.CompositeLevels,main/1[java.lang.String[]],args,0
C:\PROJECTS\huston\huston\src\composite\CompositeLevels.java,composite.CompositeLevels,main/1[java.lang.String[]],root,1
C:\PROJECTS\huston\huston\src\composite\CompositeLevels.java,composite.CompositeLevels,initialize/0,nodes,10
C:\PROJECTS\huston\huston\src\composite\CompositeLevels.java,composite.CompositeLevels,initialize/0,s,3
C:\PROJECTS\huston\huston\src\composite\CompositeLevels.java,composite.CompositeLevels,initialize/0,i,6
C:\PROJECTS\huston\huston\src\composite\CompositeLevels.java,composite.CompositeLevels,initialize/0,j,2
C:\PROJECTS\huston\huston\src\composite\CompositeLevels.java,composite.CompositeLevels,initialize/0,lev,9
C:\PROJECTS\huston\huston\src\decorator\ScrollDecorator.java,decorator.ScrollDecorator,ScrollDecorator/1[decorator.Widget],w,1
C:\PROJECTS\huston\huston\src\strategy\StrategyDemo.java,strategy.StrategyDemo,clientCode/1[strategy.Strategy],strat,1
C:\PROJECTS\huston\huston\src\strategy\StrategyDemo.java,strategy.StrategyDemo,main/1[java.lang.String[]],args,0
C:\PROJECTS\huston\huston\src\strategy\StrategyDemo.java,strategy.StrategyDemo,main/1[java.lang.String[]],algorithms,2
C:\PROJECTS\huston\huston\src\strategy\StrategyDemo.java,strategy.StrategyDemo,main/1[java.lang.String[]],strat1,1
C:\PROJECTS\huston\huston\src\strategy\StrategyDemo.java,strategy.StrategyDemo,main/1[java.lang.String[]],i,3
C:\PROJECTS\huston\huston\src\bridge\BridgeDemo.java,bridge.BridgeDemo,main/1[java.lang.String[]],args,0
C:\PROJECTS\huston\huston\src\bridge\BridgeDemo.java,bridge.BridgeDemo,main/1[java.lang.String[]],stacks,6
C:\PROJECTS\huston\huston\src\bridge\BridgeDemo.java,bridge.BridgeDemo,main/1[java.lang.String[]],num,3
C:\PROJECTS\huston\huston\src\bridge\BridgeDemo.java,bridge.BridgeDemo,main/1[java.lang.String[]],i,7
C:\PROJECTS\huston\huston\src\bridge\BridgeDemo.java,bridge.BridgeDemo,main/1[java.lang.String[]],j,3
C:\PROJECTS\huston\huston\src\proxy\RealImage.java,proxy.RealImage,RealImage/1[java.lang.String],filename,2
C:\PROJECTS\huston\huston\src\factory\Client.java,factory.Client,main/1[java.lang.String[]],args,0
C:\PROJECTS\huston\huston\src\factory\Client.java,factory.Client,main/1[java.lang.String[]],a,1
C:\PROJECTS\huston\huston\src\factory\Client.java,factory.Client,main/1[java.lang.String[]],b,1
C:\PROJECTS\huston\huston\src\bridge\StackImp.java,bridge.StackImp,push/1[java.lang.Object],o,0
C:\PROJECTS\huston\huston\src\decorator\BorderDecorator.java,decorator.BorderDecorator,BorderDecorator/1[decorator.Widget],w,1
C:\PROJECTS\huston\huston\src\template\TemplateMethodDemo.java,template.TemplateMethodDemo,main/1[java.lang.String[]],args,0
C:\PROJECTS\huston\huston\src\template\TemplateMethodDemo.java,template.TemplateMethodDemo,main/1[java.lang.String[]],algorithm,1
