file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\models\Accountant.java,com.hospital.models.Accountant,class,4,5,1,4,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,1,0
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\entities\AccountantDAO.java,com.hospital.entities.AccountantDAO,interface,1,3,2,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\models\BloodGroup.java,com.hospital.models.BloodGroup,class,5,9,4,5,5,1,0,0,6,0.6,0.2,0.2,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,18,2,0,0,0,0,2,0,2,0,2,0,0,0,0,10,1,0
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\models\WorkExperince.java,com.hospital.models.WorkExperince,class,5,7,2,5,11,1,0,0,45,0.8181818,0.09090909,0.09090909,11,0,11,0,0,0,11,0,0,0,5,0,0,5,0,0,0,0,0,39,5,0,0,0,0,2,0,5,0,5,0,0,0,0,20,1,0
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\actions\PharmatiestListener.java,com.hospital.actions.PharmatiestListener,class,20,22,2,20,31,1,0,94,0,0.60606056,0.75,0.75,11,1,8,3,0,0,8,0,0,0,3,2,0,3,0,0,0,0,24,271,3,3,0,13,0,55,6,73,6,66,3,0,0,0,81,1,0
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\models\Drug.java,com.hospital.models.Drug,class,8,11,3,8,15,1,0,0,91,0.86666673,0.06666667,0.06666667,15,0,15,0,0,0,15,0,0,0,7,0,0,7,0,0,0,0,0,53,7,0,0,0,0,3,0,7,0,7,0,0,0,0,20,1,0
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\models\Nurse.java,com.hospital.models.Nurse,class,4,7,3,4,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,1,0
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\models\Pharmatiest.java,com.hospital.models.Pharmatiest,class,4,7,3,4,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,1,0
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\models\SelledDrug.java,com.hospital.models.SelledDrug,class,11,15,4,11,18,1,0,0,135,0.8888889,0.05882353,0.05882353,18,0,18,0,0,0,18,0,0,0,9,0,0,9,0,0,0,0,0,65,9,0,0,0,0,5,0,9,0,9,0,0,0,0,28,1,0
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\actions\ReportListener.java,com.hospital.actions.ReportListener,class,11,13,2,11,6,1,0,20,10,0.8,0.0,0.0,5,1,2,3,0,0,2,0,0,0,2,1,0,2,0,0,0,0,1,44,3,0,0,1,0,6,0,16,0,16,1,0,0,0,51,1,0
