file,class,method,variable,usage
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\models\BloodGroup.java,com.hospital.models.BloodGroup,setBloodGroupId/1[java.lang.Integer],bloodGroupId,2
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\models\BloodGroup.java,com.hospital.models.BloodGroup,setBloodGroupName/1[java.lang.String],bloodGroupName,2
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\models\WorkExperince.java,com.hospital.models.WorkExperince,setEndDate/1[java.lang.String],endDate,2
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\models\WorkExperince.java,com.hospital.models.WorkExperince,setWorkExperienceId/1[java.lang.Integer],workExperienceId,2
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\models\WorkExperince.java,com.hospital.models.WorkExperince,setPosition/1[java.lang.String],position,2
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\models\WorkExperince.java,com.hospital.models.WorkExperince,setStartDate/1[java.lang.String],startDate,2
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\models\WorkExperince.java,com.hospital.models.WorkExperince,setNameOfOrganization/1[java.lang.String],nameOfOrganization,2
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\actions\PharmatiestListener.java,com.hospital.actions.PharmatiestListener,"deleteSellDrug/2[com.hospital.actions.HttpServletRequest,com.hospital.actions.HttpServletResponse]",request,1
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\actions\PharmatiestListener.java,com.hospital.actions.PharmatiestListener,"deleteSellDrug/2[com.hospital.actions.HttpServletRequest,com.hospital.actions.HttpServletResponse]",selledDrugID,1
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\actions\PharmatiestListener.java,com.hospital.actions.PharmatiestListener,"deleteSellDrug/2[com.hospital.actions.HttpServletRequest,com.hospital.actions.HttpServletResponse]",ex,1
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\actions\PharmatiestListener.java,com.hospital.actions.PharmatiestListener,"deleteSellDrug/2[com.hospital.actions.HttpServletRequest,com.hospital.actions.HttpServletResponse]",e,1
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\actions\PharmatiestListener.java,com.hospital.actions.PharmatiestListener,"deleteSellDrug/2[com.hospital.actions.HttpServletRequest,com.hospital.actions.HttpServletResponse]",response,2
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\actions\PharmatiestListener.java,com.hospital.actions.PharmatiestListener,"deleteSellDrug/2[com.hospital.actions.HttpServletRequest,com.hospital.actions.HttpServletResponse]",selledDrug,4
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\actions\PharmatiestListener.java,com.hospital.actions.PharmatiestListener,"addDrug/2[com.hospital.actions.HttpServletRequest,com.hospital.actions.HttpServletResponse]",request,6
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\actions\PharmatiestListener.java,com.hospital.actions.PharmatiestListener,"addDrug/2[com.hospital.actions.HttpServletRequest,com.hospital.actions.HttpServletResponse]",cost,1
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\actions\PharmatiestListener.java,com.hospital.actions.PharmatiestListener,"addDrug/2[com.hospital.actions.HttpServletRequest,com.hospital.actions.HttpServletResponse]",quantity,1
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\actions\PharmatiestListener.java,com.hospital.actions.PharmatiestListener,"addDrug/2[com.hospital.actions.HttpServletRequest,com.hospital.actions.HttpServletResponse]",ex,1
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\actions\PharmatiestListener.java,com.hospital.actions.PharmatiestListener,"addDrug/2[com.hospital.actions.HttpServletRequest,com.hospital.actions.HttpServletResponse]",e,1
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\actions\PharmatiestListener.java,com.hospital.actions.PharmatiestListener,"addDrug/2[com.hospital.actions.HttpServletRequest,com.hospital.actions.HttpServletResponse]",response,2
C:\PROJECTS\HospitalManagementSystem-master\HospitalManagementSystem-master\src\main\java\com\hospital\actions\PharmatiestListener.java,com.hospital.actions.PharmatiestListener,"addDrug/2[com.hospital.actions.HttpServletRequest,com.hospital.actions.HttpServletResponse]",name,1
