file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,class,6,9,3,6,14,1,0,12,21,0.75,0.1904762,0.1904762,10,1,7,3,0,0,7,0,0,0,4,1,0,4,0,0,0,0,5,62,3,0,2,1,0,11,0,8,5,7,3,0,0,1,46,1,0
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Customer\Customer.java,com.learning_design_patterns.Customer.Customer,class,5,8,3,5,6,1,0,13,0,0.5,0.5,0.5,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,3,23,1,0,0,0,0,5,0,3,2,3,1,0,0,0,31,1,0
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Customer\Icustomer.java,com.learning_design_patterns.Customer.Icustomer,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Computer\DesktopPC.java,com.learning_design_patterns.Computer.DesktopPC,class,1,2,1,1,3,2,0,2,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,12,1,0,0,0,0,2,0,2,1,1,0,0,0,0,12,1,0
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Factory\LaptopFactory.java,com.learning_design_patterns.Factory.LaptopFactory,class,3,4,1,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,9,1,0
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\App.java,com.learning_design_patterns.App,class,2,2,0,2,4,1,0,11,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,25,0,2,0,0,0,9,2,6,2,6,1,0,0,0,27,17,0
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Factory\IComputerFactory.java,com.learning_design_patterns.Factory.IComputerFactory,interface,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Computer\Computer.java,com.learning_design_patterns.Computer.Computer,class,0,9,9,0,2,1,2,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1025,0
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\RandomComputerGenerator\RandomComputerSpecGenerator.java,com.learning_design_patterns.RandomComputerGenerator.RandomComputerSpecGenerator,class,3,6,3,3,5,1,0,7,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,43,2,0,0,0,0,11,0,9,2,7,1,0,0,0,20,1,0
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Factory\DesktopPCFactory.java,com.learning_design_patterns.Factory.DesktopPCFactory,class,3,4,1,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,11,1,0
