file,class,method,variable,usage
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,notifyCustomers/1[com.learning_design_patterns.Computer.Computer],subscribedCustomers,1
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,getSubscribedCustomers/0,subscribedCustomers,1
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,TopTierComputersStore/0,availableComputers,1
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,orderNewRandomComputerFromRandomFactory/0,computerFactory,2
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,unsubscribe/1[com.learning_design_patterns.Customer.Customer],subscribedCustomers,1
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,removePC/1[com.learning_design_patterns.Computer.Computer],availableComputers,1
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,getInstance/0,instance,4
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,subscribe/1[com.learning_design_patterns.Customer.Customer],subscribedCustomers,1
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,getAvailableCumputers/0,availableComputers,1
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,addPC/1[com.learning_design_patterns.Computer.Computer],availableComputers,1
