file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\MyLogger.java,wordTree.util.MyLogger$DebugLevel,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\FileDisplayInterface.java,wordTree.util.FileDisplayInterface,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\DeleteThread.java,wordTree.threadMgmt.DeleteThread,class,6,8,2,6,3,1,0,3,1,0.53333336,0.33333334,0.33333334,3,0,2,0,0,1,3,0,0,0,5,0,0,5,0,0,0,0,2,22,1,0,0,0,0,3,0,10,2,5,0,0,0,0,37,1,0
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\PopulateThread.java,wordTree.threadMgmt.PopulateThread,class,6,8,2,6,5,1,0,5,1,0.4166667,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,2,27,1,2,1,0,1,3,1,12,2,8,2,0,0,0,40,1,0
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\driver\Driver.java,wordTree.driver.Driver,class,6,6,0,6,9,1,0,12,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,57,0,1,2,2,2,6,15,16,5,12,5,0,0,0,80,1,0
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,class,3,11,8,3,24,1,0,16,12,0.6111111,0.33333334,0.41666666,9,0,9,0,0,0,9,0,0,4,2,0,0,2,0,0,0,0,6,98,7,0,11,0,0,7,17,16,8,6,2,0,0,0,65,1,0
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\Node.java,wordTree.myTree.Node,class,2,4,2,2,9,1,0,2,16,0.7555556,0.2777778,0.7777778,9,0,9,0,0,0,9,0,0,0,5,0,0,0,0,5,0,0,1,38,5,0,0,0,0,2,1,7,1,5,0,0,0,0,39,1,0
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\store\Results.java,wordTree.store.Results,class,5,10,5,5,8,1,0,10,3,0.6111111,0.4,0.6666667,6,0,6,0,0,0,6,0,0,0,3,0,1,1,0,1,0,0,2,36,1,1,0,1,0,3,2,7,1,6,1,0,0,0,58,1,0
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\CreateWorkers.java,wordTree.threadMgmt.CreateWorkers,class,8,10,2,8,8,1,0,8,0,0.3,0.5,0.5,4,0,4,0,0,0,4,0,0,0,5,0,0,5,0,0,0,0,3,42,1,2,0,2,0,4,2,14,3,9,2,0,0,0,47,1,0
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\InputProcessor.java,wordTree.util.InputProcessor,class,3,8,5,3,3,1,0,3,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,13,2,0,0,0,0,3,0,2,1,2,0,0,0,0,24,1,0
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\FileProcessor.java,wordTree.util.FileProcessor,class,2,7,5,2,13,1,0,12,2,0.6,0.4,0.6,5,0,5,0,0,0,5,0,0,1,2,0,0,2,0,0,0,0,4,66,3,1,4,4,0,9,2,13,1,7,2,0,0,0,70,1,0
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\MyLogger.java,wordTree.util.MyLogger,class,1,10,9,1,10,1,0,1,0,0.0,1.0,1.0,4,3,4,0,0,0,4,0,0,0,1,1,0,1,0,0,0,0,0,34,1,0,1,0,0,1,5,6,1,1,1,0,1,0,30,1,0
