file,class,method,variable,usage
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\DeleteThread.java,wordTree.threadMgmt.DeleteThread,"DeleteThread/5[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results,java.lang.String]",wordToBeDeleted,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\DeleteThread.java,wordTree.threadMgmt.DeleteThread,"DeleteThread/5[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results,java.lang.String]",ip,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\DeleteThread.java,wordTree.threadMgmt.DeleteThread,"DeleteThread/5[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results,java.lang.String]",tree,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\DeleteThread.java,wordTree.threadMgmt.DeleteThread,"DeleteThread/5[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results,java.lang.String]",fp,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\DeleteThread.java,wordTree.threadMgmt.DeleteThread,"DeleteThread/5[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results,java.lang.String]",results,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\DeleteThread.java,wordTree.threadMgmt.DeleteThread,run/0,wordToBeDeleted,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\DeleteThread.java,wordTree.threadMgmt.DeleteThread,run/0,tree,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\PopulateThread.java,wordTree.threadMgmt.PopulateThread,run/0,ip,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\PopulateThread.java,wordTree.threadMgmt.PopulateThread,run/0,tree,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\PopulateThread.java,wordTree.threadMgmt.PopulateThread,run/0,fp,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\PopulateThread.java,wordTree.threadMgmt.PopulateThread,"PopulateThread/4[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results]",ip,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\PopulateThread.java,wordTree.threadMgmt.PopulateThread,"PopulateThread/4[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results]",tree,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\PopulateThread.java,wordTree.threadMgmt.PopulateThread,"PopulateThread/4[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results]",fp,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\PopulateThread.java,wordTree.threadMgmt.PopulateThread,"PopulateThread/4[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results]",results,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,insert/1[java.lang.String],finalCharCount,3
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,insert/1[java.lang.String],distinctWordCount,2
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,insert/1[java.lang.String],root,4
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,insert/1[java.lang.String],finalWordCount,3
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,delete/1[java.lang.String],finalCharCount,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,delete/1[java.lang.String],distinctWordCount,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,delete/1[java.lang.String],root,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,delete/1[java.lang.String],finalWordCount,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,printCounts/1[java.util.ArrayList<java.lang.String>],finalCharCount,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,printCounts/1[java.util.ArrayList<java.lang.String>],distinctWordCount,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,printCounts/1[java.util.ArrayList<java.lang.String>],finalWordCount,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,getRoot/0,root,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,MyTree/0,root,1
