file,class,method,variable,usage
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\FileDisplayInterface.java,wordTree.util.FileDisplayInterface,writeSchedulesToFile/1[wordTree.myTree.MyTree],tree,0
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\DeleteThread.java,wordTree.threadMgmt.DeleteThread,"DeleteThread/5[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results,java.lang.String]",resultsIn,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\DeleteThread.java,wordTree.threadMgmt.DeleteThread,"DeleteThread/5[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results,java.lang.String]",treeIn,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\DeleteThread.java,wordTree.threadMgmt.DeleteThread,"DeleteThread/5[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results,java.lang.String]",ipIn,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\DeleteThread.java,wordTree.threadMgmt.DeleteThread,"DeleteThread/5[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results,java.lang.String]",wordIn,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\DeleteThread.java,wordTree.threadMgmt.DeleteThread,"DeleteThread/5[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results,java.lang.String]",fpIn,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\PopulateThread.java,wordTree.threadMgmt.PopulateThread,run/0,line,2
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\PopulateThread.java,wordTree.threadMgmt.PopulateThread,run/0,inputPass,2
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\PopulateThread.java,wordTree.threadMgmt.PopulateThread,run/0,i,3
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\PopulateThread.java,wordTree.threadMgmt.PopulateThread,run/0,inputWord,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\PopulateThread.java,wordTree.threadMgmt.PopulateThread,"PopulateThread/4[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results]",resultsIn,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\PopulateThread.java,wordTree.threadMgmt.PopulateThread,"PopulateThread/4[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results]",treeIn,1
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\PopulateThread.java,wordTree.threadMgmt.PopulateThread,"PopulateThread/4[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results]",ipIn,1
